Time: 20.200 	 Etot:120.4662 
Time: 20.400 	 Etot:-4585.1049 
Time: 20.600 	 Etot:-4573.5326 
Time: 20.800 	 Etot:-4548.1223 
Time: 21.000 	 Etot:-4525.3410 
Time: 21.200 	 Etot:-4542.8995 
Time: 21.400 	 Etot:-4550.9376 
Time: 21.600 	 Etot:-4543.8652 
Time: 21.800 	 Etot:-4570.4109 
Time: 22.000 	 Etot:-4550.4225 
Time: 22.200 	 Etot:-4585.2078 
Time: 22.400 	 Etot:-4577.3788 
Time: 22.600 	 Etot:-4583.5594 
Time: 22.800 	 Etot:-4605.5086 
Time: 23.000 	 Etot:-4615.4200 
Time: 23.200 	 Etot:-4583.6069 
Time: 23.400 	 Etot:-4534.2492 
Time: 23.600 	 Etot:-4571.4911 
Time: 23.800 	 Etot:-4580.2937 
Time: 24.000 	 Etot:-4555.4327 
Time: 24.200 	 Etot:-4567.5687 
Time: 24.400 	 Etot:-4566.0038 
Time: 24.600 	 Etot:-4547.9737 
Time: 24.800 	 Etot:-4603.6717 
Time: 25.000 	 Etot:-4611.0889 
Time: 25.200 	 Etot:-4694.2189 
Time: 25.400 	 Etot:-4678.6558 
Time: 25.600 	 Etot:-4679.2889 
Time: 25.800 	 Etot:-4650.4214 
Time: 26.000 	 Etot:-4637.4849 
Time: 26.200 	 Etot:-4677.2461 
Time: 26.400 	 Etot:-4659.6974 
Time: 26.600 	 Etot:-4592.8300 
Time: 26.800 	 Etot:-4622.1237 
Time: 27.000 	 Etot:-4626.0868 
Time: 27.200 	 Etot:-4614.5996 
Time: 27.400 	 Etot:-4625.5348 
Time: 27.600 	 Etot:-4569.7752 
Time: 27.800 	 Etot:-4625.0792 
Time: 28.000 	 Etot:-4653.4614 
Time: 28.200 	 Etot:-4637.6852 
Time: 28.400 	 Etot:-4643.8673 
Time: 28.600 	 Etot:-4619.5255 
Time: 28.800 	 Etot:-4663.3843 
Time: 29.000 	 Etot:-4631.8386 
Time: 29.200 	 Etot:-4680.3524 
Time: 29.400 	 Etot:-4722.1579 
Time: 29.600 	 Etot:-4696.5022 
Time: 29.800 	 Etot:-4729.6126 
Time: 30.000 	 Etot:-4703.1835 
Time: 30.200 	 Etot:-4707.8668 
Time: 30.400 	 Etot:-4660.0768 
Time: 30.600 	 Etot:-4673.0967 
Time: 30.800 	 Etot:-4656.3795 
Time: 31.000 	 Etot:-4627.9210 
Time: 31.200 	 Etot:-4599.7806 
Time: 31.400 	 Etot:-4648.8831 
Time: 31.600 	 Etot:-4649.4773 
Time: 31.800 	 Etot:-4665.3345 
Time: 32.000 	 Etot:-4693.9727 
Time: 32.200 	 Etot:-4726.4832 
Time: 32.400 	 Etot:-4744.9909 
Time: 32.600 	 Etot:-4788.9469 
Time: 32.800 	 Etot:-4724.8673 
Time: 33.000 	 Etot:-4724.9143 
Time: 33.200 	 Etot:-4685.3320 
Time: 33.400 	 Etot:-4721.0018 
Time: 33.600 	 Etot:-4755.1232 
Time: 33.800 	 Etot:-4810.7441 
Time: 34.000 	 Etot:-4796.7949 
Time: 34.200 	 Etot:-4737.2496 
Time: 34.400 	 Etot:-4735.1629 
Time: 34.600 	 Etot:-4733.8855 
Time: 34.800 	 Etot:-4781.2227 
Time: 35.000 	 Etot:-4789.1473 
Time: 35.200 	 Etot:-4813.7562 
Time: 35.400 	 Etot:-4817.4775 
Time: 35.600 	 Etot:-4822.1009 
Time: 35.800 	 Etot:-4788.4856 
Time: 36.000 	 Etot:-4816.5778 
Time: 36.200 	 Etot:-4843.6187 
Time: 36.400 	 Etot:-4867.3389 
Time: 36.600 	 Etot:-4829.6258 
Time: 36.800 	 Etot:-4839.4063 
Time: 37.000 	 Etot:-4856.7404 
Time: 37.200 	 Etot:-4827.9999 
Time: 37.400 	 Etot:-4789.4960 
Time: 37.600 	 Etot:-4807.4737 
Time: 37.800 	 Etot:-4822.8427 
Time: 38.000 	 Etot:-4841.7963 
Time: 38.200 	 Etot:-4852.5445 
Time: 38.400 	 Etot:-4794.1774 
Time: 38.600 	 Etot:-4795.4408 
Time: 38.800 	 Etot:-4843.1092 
Time: 39.000 	 Etot:-4861.5219 
Time: 39.200 	 Etot:-4861.1394 
Time: 39.400 	 Etot:-4874.9262 
Time: 39.600 	 Etot:-4895.8931 
Time: 39.800 	 Etot:-4925.8895 
Time: 40.000 	 Etot:-4973.8736 
Time: 40.200 	 Etot:-4988.7908 
Time: 40.400 	 Etot:-4945.5981 
Time: 40.600 	 Etot:-4916.3219 
Time: 40.800 	 Etot:-4921.4063 
Time: 41.000 	 Etot:-4911.1395 
Time: 41.200 	 Etot:-4874.5853 
Time: 41.400 	 Etot:-4874.5310 
Time: 41.600 	 Etot:-4881.8810 
Time: 41.800 	 Etot:-4891.6363 
Time: 42.000 	 Etot:-4896.9142 
Time: 42.200 	 Etot:-4912.6121 
Time: 42.400 	 Etot:-4904.3068 
Time: 42.600 	 Etot:-4929.8410 
Time: 42.800 	 Etot:-4953.1665 
